Character,Line
Stan,"You guys, you guys!"
Stan,Chef is going away.
Kyle,Going away?
Kyle,For how long?
Stan,Forever.
Stan,"Chef said he's been bored, so he joining a group called the Super Adventure Club."
Cartman,I'm gonna miss him.
Cartman,I'm gonna miss Chef and I...and I don't know how to tell him!
Stan,"Dude, how are we gonna go on?"
Stan,Chef was our fuh...f-ffriend.
Kyle,"Draw two card, fatass."
Cartman,"Reverse to you, Jew."
Stan,I'll get it.
Stan,He's back!
Kyle,Yeah!
Cartman,All right!
Kyle,Chef!
Kyle,I can't believe you're back!
Stan,But are you back for good?
Kyle,"Well, I- guess we'll see you in school tomorrow, Chef."
Stan,Right.
Stan,"Uh, see ya."
Cartman,"Uh, guys?"
Cartman,"Did Chef seem a little, uh, trippy to you?"
Stan,"Well, look."
Stan,he said he's happier now.
Stan,Maybe he just needs to rest up a little.
Kyle,Yeah.
Kyle,I'm sure whatever that Super Adventure Club does is pretty tiring.
Stan,"Yeah, but whatever, I'm just glad he's back for good."
Cartman,"Oh boy oh boy, I can't wait to have Chef's lunch food again."
Kyle,Yeah.
Kyle,I hope he makes his Salisbury steak with buttered noodles!
Stan,What?
Kyle,Like what?
Stan,What?
Kyle,Weirdo.
Kyle,Good.
Cartman,Excuse me?
Kyle,...Chef??
Kyle,A-are you okay?
Stan,"Dude, what are you saying?"
Stan,...WHAT?
Kyle,This doesn't make any sense!
Stan,"No, he's not."
Stan,"No, he's not."
Stan,NO!
Kyle,"Goddammit, Chef isn't like that!"
Kyle,Something funny is going on around here!
Kyle,"Chef, the police are asking questions about you!"
Stan,"No, Chef, we don't wanna make love to you!"
Kyle,"Chef, CHEF!"
Kyle,"You need to get out of here before you get arrested, all right?"
Cartman,"...Man, I can't believe all this time, Chef just wanted us for sex."
Kyle,"He didn't want us for sex, fatass!"
Kyle,Something is making him say those things.
Kyle,Something must have happened to Chef while he was gone.
Kyle,"Maybe he hit his head or, or got stuck in some quantum time vortex."
Stan,Well look: he spent the last three months with that adventurers' club.
Stan,Maybe they know what happened to him.
Cartman,Yeah!
Kyle,"All right, come on guys!"
Cartman,"Hey you guys, you know what they call a Jewish woman's boobs?"
Cartman,Jewbs.
Kyle,"Ahh, hi, can we speak to the head guy or something?"
Kyle,"Uh, hi."
Kyle,"Our friend joined your club a while back, and now he wants to molest kids."
Cartman,...Huh?
Kyle,"Well, we thought you went exploring and like, hunting and stuff!"
Kyle,...Dude!
Stan,NO!
Stan,No!
Kyle,"Dude, what are you doing?"
Kyle,Just what the hell is that thing?
Kyle,HA!
Kyle,I knew it!
Stan,Knew what?
Kyle,The reason Chef has been saying those terrible things about us is because he's been brainwashed!
Kyle,By this- fruity little club!
Cartman,"Oh, son of a bitch!"
Stan,"You need to see a psychiatrist, Chef."
Stan,It's for your own good.
Kyle,"All right, come on."
Kyle,"Hi, uh- our friend has been brainwashed by some fruity little club."
Stan,"Yeah, he joined the Super Adventure Club, and they convinced him having sex with children was okay with a little thing that goes whrrrrrr."
Stan,"No, that's the Adventure Club."
Stan,The Super Adventure Club has sex with children.
